=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: skylake_c220g5) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [76/1638] t=32 m=10000 w=0 | elapsed=2259s eta=47047s
  [77/1638] t=32 m=20000 w=0 | elapsed=2289s eta=47014s
  [78/1638] t=32 m=50000 w=0 | elapsed=2319s eta=46982s
--- w=0ns, rep=2/3 ---
  [79/1638] t=8 m=0 w=0 | elapsed=2349s eta=46949s
  [80/1638] t=8 m=10 w=0 | elapsed=2379s eta=46917s
  [81/1638] t=8 m=20 w=0 | elapsed=2409s eta=46885s
  [82/1638] t=8 m=30 w=0 | elapsed=2439s eta=46852s
  [83/1638] t=8 m=40 w=0 | elapsed=2469s eta=46820s
  [84/1638] t=8 m=50 w=0 | elapsed=2499s eta=46788s
  [85/1638] t=8 m=60 w=0 | elapsed=2530s eta=46774s
  [86/1638] t=8 m=70 w=0 | elapsed=2560s eta=46742s
  [87/1638] t=8 m=80 w=0 | elapsed=2590s eta=46710s
  [88/1638] t=8 m=90 w=0 | elapsed=2620s eta=46678s
  [89/1638] t=8 m=100 w=0 | elapsed=2650s eta=46646s
  [90/1638] t=8 m=150 w=0 | elapsed=2680s eta=46613s
  [91/1638] t=8 m=200 w=0 | elapsed=2710s eta=46581s
  [92/1638] t=8 m=250 w=0 | elapsed=2740s eta=46549s
  [93/1638] t=8 m=300 w=0 | elapsed=2770s eta=46517s
  [94/1638] t=8 m=400 w=0 | elapsed=2801s eta=46502s
  [95/1638] t=8 m=500 w=0 | elapsed=2831s eta=46470s
  [96/1638] t=8 m=700 w=0 | elapsed=2861s eta=46438s
  [97/1638] t=8 m=1000 w=0 | elapsed=2891s eta=46406s
  [98/1638] t=8 m=2000 w=0 | elapsed=2921s eta=46374s
  [99/1638] t=8 m=3000 w=0 | elapsed=2951s eta=46342s
  [100/1638] t=8 m=5000 w=0 | elapsed=2981s eta=46310s
  [101/1638] t=8 m=7000 w=0 | elapsed=3011s eta=46279s
  [102/1638] t=8 m=10000 w=0 | elapsed=3041s eta=46247s
  [103/1638] t=8 m=20000 w=0 | elapsed=3072s eta=46230s
  [104/1638] t=8 m=50000 w=0 | elapsed=3102s eta=46198s
  [105/1638] t=16 m=0 w=0 | elapsed=3132s eta=46166s
  [106/1638] t=16 m=10 w=0 | elapsed=3162s eta=46135s
  [107/1638] t=16 m=20 w=0 | elapsed=3192s eta=46103s
  [108/1638] t=16 m=30 w=0 | elapsed=3222s eta=46071s
  [109/1638] t=16 m=40 w=0 | elapsed=3252s eta=46039s
  [110/1638] t=16 m=50 w=0 | elapsed=3282s eta=46008s
  [111/1638] t=16 m=60 w=0 | elapsed=3312s eta=45976s
  [112/1638] t=16 m=70 w=0 | elapsed=3343s eta=45958s
  [113/1638] t=16 m=80 w=0 | elapsed=3373s eta=45927s
  [114/1638] t=16 m=90 w=0 | elapsed=3403s eta=45895s
  [115/1638] t=16 m=100 w=0 | elapsed=3433s eta=45863s
  [116/1638] t=16 m=150 w=0 | elapsed=3463s eta=45832s
  [117/1638] t=16 m=200 w=0 | elapsed=3493s eta=45800s
  [118/1638] t=16 m=250 w=0 | elapsed=3523s eta=45768s
  [119/1638] t=16 m=300 w=0 | elapsed=3553s eta=45737s
  [120/1638] t=16 m=400 w=0 | elapsed=3583s eta=45705s
  [121/1638] t=16 m=500 w=0 | elapsed=3614s eta=45686s
  [122/1638] t=16 m=700 w=0 | elapsed=3644s eta=45655s
  [123/1638] t=16 m=1000 w=0 | elapsed=3674s eta=45623s
  [124/1638] t=16 m=2000 w=0 | elapsed=3704s eta=45592s
  [125/1638] t=16 m=3000 w=0 | elapsed=3734s eta=45560s
  [126/1638] t=16 m=5000 w=0 | elapsed=3764s eta=45529s
  [127/1638] t=16 m=7000 w=0 | elapsed=3794s eta=45497s
  [128/1638] t=16 m=10000 w=0 | elapsed=3824s eta=45466s
  [129/1638] t=16 m=20000 w=0 | elapsed=3854s eta=45435s
  [130/1638] t=16 m=50000 w=0 | elapsed=3885s eta=45415s
  [131/1638] t=32 m=0 w=0 | elapsed=3915s eta=45383s
  [132/1638] t=32 m=10 w=0 | elapsed=3945s eta=45352s
  [133/1638] t=32 m=20 w=0 | elapsed=3975s eta=45321s
