m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,20313971.60,0.00,0.0000,0.0000,3
10,20314769.17,0.00,0.0000,0.0000,3
20,20317621.98,0.00,0.0000,0.0000,3
30,20317547.00,0.00,0.0000,0.0000,3
40,20317334.37,0.00,0.0000,0.0000,3
50,20317938.50,0.00,0.0000,0.0000,3
60,20317652.20,0.00,0.0000,0.0000,3
70,20317257.39,0.00,0.0000,0.0000,3
80,20317526.96,0.00,0.0000,0.0000,3
90,20317476.06,0.00,0.0000,0.0000,3
100,20317637.77,0.00,0.0000,0.0000,3
