m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,13037728.79,0.00,0.0000,0.0000,3
10,13040292.81,0.00,0.0000,0.0000,3
20,13038797.73,0.00,0.0000,0.0000,3
30,13039275.95,0.00,0.0000,0.0000,3
40,13040430.27,0.00,0.0000,0.0000,3
50,13036772.43,0.00,0.0000,0.0000,3
60,13037191.78,0.00,0.0000,0.0000,3
70,13037828.89,0.00,0.0000,0.0000,3
80,13039925.69,0.00,0.0000,0.0000,3
90,13040102.10,0.00,0.0000,0.0000,3
100,13040659.95,0.00,0.0000,0.0000,3
