m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,4356631.53,1738006.41,3.4111,2.0556,3
10,6648864.81,1529710.60,3.8778,1.7889,3
20,7412557.35,1271984.46,6.8333,2.4556,3
30,8116374.76,1046079.84,4.1778,1.5222,3
40,8949735.40,873040.59,7.7333,2.5333,3
50,9445653.87,734486.46,11.4111,3.1778,3
60,10021679.35,637418.59,45.8556,12.2222,3
70,10349303.68,558706.68,44.1000,11.4667,3
80,10522316.87,495639.94,21.4778,5.1889,3
90,10762934.77,446137.39,79.0000,18.2111,3
100,11109148.68,406859.98,139.0111,29.9444,3
