m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,4597979.51,1620369.08,7.0000,3.1889,3
10,8780253.87,1009399.63,42.2778,12.5222,3
20,10044094.79,691176.73,81.3444,19.4333,3
30,10650768.76,511764.80,26.5444,6.0333,3
40,11085103.52,405203.24,16.7000,3.6889,3
50,11515536.06,336658.69,112.5889,22.9889,3
60,11658148.81,284007.57,67.3222,12.8333,3
70,11853381.90,246994.02,55.3222,10.3333,3
80,11948494.70,218019.76,35.8444,7.0111,3
90,12088576.79,195449.53,77.7222,13.6222,3
100,12120198.41,176369.06,60.7111,11.1333,3
