m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,1634863.66,4389376.61,63700.3333,51895.8333,3
10,1704904.50,3029857.42,43281.2556,35173.9111,3
20,1716117.50,2841225.13,41319.7111,33482.1000,3
30,1717502.94,2750752.21,40361.7889,32703.6667,3
40,1716871.14,2714314.29,39697.8778,32082.1667,3
50,1731854.99,2665283.36,39198.0444,31647.4222,3
60,1727223.73,2616426.84,38446.1222,30992.3667,3
70,1741826.79,2539510.90,37741.1667,30478.9889,3
80,1739090.09,2533225.18,37492.8444,30215.4333,3
90,1740031.59,2501074.47,36763.7111,30054.5556,3
100,1746692.83,2444701.42,36027.5778,28959.9444,3
