m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,1380018.76,3869719.51,73614.7556,56816.0778,3
10,1591393.62,1163159.96,21433.7778,16184.8333,3
20,1660559.19,764136.32,14839.0778,11686.9556,3
30,1700586.96,555960.40,10721.3222,8609.6111,3
40,1725316.12,431199.00,8193.3222,6651.2556,3
50,1742325.00,350326.30,7042.4889,5778.8889,3
60,1756975.26,295193.31,5856.9111,4827.4222,3
70,1768160.88,255073.29,4957.4000,4116.9667,3
80,1774421.13,224271.46,4430.7222,3684.2222,3
90,1779971.58,200130.62,3994.8222,3309.2667,3
100,1785765.37,180614.48,3696.0667,3093.7111,3
