=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [75/1638] t=32 m=7000 w=0 | elapsed=2258s eta=47056s
  [76/1638] t=32 m=10000 w=0 | elapsed=2288s eta=47024s
  [77/1638] t=32 m=20000 w=0 | elapsed=2318s eta=46992s
  [78/1638] t=32 m=50000 w=0 | elapsed=2348s eta=46960s
--- w=0ns, rep=2/3 ---
  [79/1638] t=8 m=0 w=0 | elapsed=2378s eta=46927s
  [80/1638] t=8 m=10 w=0 | elapsed=2408s eta=46895s
  [81/1638] t=8 m=20 w=0 | elapsed=2439s eta=46883s
  [82/1638] t=8 m=30 w=0 | elapsed=2469s eta=46850s
  [83/1638] t=8 m=40 w=0 | elapsed=2499s eta=46818s
  [84/1638] t=8 m=50 w=0 | elapsed=2529s eta=46786s
  [85/1638] t=8 m=60 w=0 | elapsed=2559s eta=46754s
  [86/1638] t=8 m=70 w=0 | elapsed=2589s eta=46722s
  [87/1638] t=8 m=80 w=0 | elapsed=2619s eta=46690s
  [88/1638] t=8 m=90 w=0 | elapsed=2649s eta=46658s
  [89/1638] t=8 m=100 w=0 | elapsed=2679s eta=46626s
  [90/1638] t=8 m=150 w=0 | elapsed=2710s eta=46612s
  [91/1638] t=8 m=200 w=0 | elapsed=2740s eta=46580s
  [92/1638] t=8 m=250 w=0 | elapsed=2770s eta=46548s
  [93/1638] t=8 m=300 w=0 | elapsed=2800s eta=46516s
  [94/1638] t=8 m=400 w=0 | elapsed=2830s eta=46484s
  [95/1638] t=8 m=500 w=0 | elapsed=2860s eta=46452s
  [96/1638] t=8 m=700 w=0 | elapsed=2890s eta=46420s
  [97/1638] t=8 m=1000 w=0 | elapsed=2920s eta=46388s
  [98/1638] t=8 m=2000 w=0 | elapsed=2950s eta=46357s
  [99/1638] t=8 m=3000 w=0 | elapsed=2980s eta=46325s
  [100/1638] t=8 m=5000 w=0 | elapsed=3011s eta=46309s
  [101/1638] t=8 m=7000 w=0 | elapsed=3041s eta=46277s
  [102/1638] t=8 m=10000 w=0 | elapsed=3071s eta=46245s
  [103/1638] t=8 m=20000 w=0 | elapsed=3101s eta=46213s
  [104/1638] t=8 m=50000 w=0 | elapsed=3131s eta=46182s
  [105/1638] t=16 m=0 w=0 | elapsed=3161s eta=46150s
  [106/1638] t=16 m=10 w=0 | elapsed=3191s eta=46118s
  [107/1638] t=16 m=20 w=0 | elapsed=3221s eta=46087s
  [108/1638] t=16 m=30 w=0 | elapsed=3251s eta=46055s
  [109/1638] t=16 m=40 w=0 | elapsed=3282s eta=46038s
  [110/1638] t=16 m=50 w=0 | elapsed=3312s eta=46006s
  [111/1638] t=16 m=60 w=0 | elapsed=3342s eta=45975s
  [112/1638] t=16 m=70 w=0 | elapsed=3372s eta=45943s
  [113/1638] t=16 m=80 w=0 | elapsed=3402s eta=45911s
  [114/1638] t=16 m=90 w=0 | elapsed=3432s eta=45880s
  [115/1638] t=16 m=100 w=0 | elapsed=3462s eta=45848s
  [116/1638] t=16 m=150 w=0 | elapsed=3492s eta=45817s
  [117/1638] t=16 m=200 w=0 | elapsed=3522s eta=45786s
  [118/1638] t=16 m=250 w=0 | elapsed=3553s eta=45767s
  [119/1638] t=16 m=300 w=0 | elapsed=3583s eta=45735s
  [120/1638] t=16 m=400 w=0 | elapsed=3613s eta=45704s
  [121/1638] t=16 m=500 w=0 | elapsed=3643s eta=45672s
  [122/1638] t=16 m=700 w=0 | elapsed=3673s eta=45641s
  [123/1638] t=16 m=1000 w=0 | elapsed=3703s eta=45610s
  [124/1638] t=16 m=2000 w=0 | elapsed=3733s eta=45578s
  [125/1638] t=16 m=3000 w=0 | elapsed=3763s eta=45547s
  [126/1638] t=16 m=5000 w=0 | elapsed=3793s eta=45516s
