m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,17543485.62,0.00,0.0000,0.0000,3
10,17537344.46,0.00,0.0000,0.0000,3
20,17545100.17,0.00,0.0000,0.0000,3
30,17544623.67,0.00,0.0000,0.0000,3
40,17778923.96,0.00,0.0000,0.0000,3
50,17767133.46,0.00,0.0000,0.0000,3
60,17544953.24,0.00,0.0000,0.0000,3
70,17541493.42,0.00,0.0000,0.0000,3
80,17540962.17,0.00,0.0000,0.0000,3
90,17769478.68,0.00,0.0000,0.0000,3
100,17541227.05,0.00,0.0000,0.0000,3
