m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,5184498.24,2101418.71,3.1556,1.4667,3
10,7300986.36,2172216.58,8.6333,3.0222,3
20,8175828.31,2001779.43,37.3556,12.7556,3
30,8712026.15,1810732.40,77.8667,25.0111,3
40,9507054.18,1752002.34,196.8667,61.9667,3
50,9694658.28,1631099.87,171.2000,51.5222,3
60,10191318.61,1532396.98,146.8333,42.1333,3
70,10190151.29,1420829.87,64.3333,18.1667,3
80,10763506.60,1368038.01,140.0111,39.5111,3
90,10868694.86,1274502.53,141.4111,39.2111,3
100,11338138.05,1218061.66,205.2778,56.0889,3
