=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Following CPUs are offline:
8-15
cpupower set operation was not performed on them
  governor: performance
  WARNING: could not disable turbo/boost

=== Experiment (Server: skylake_ann) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [83/1638] t=8 m=40 w=0 | elapsed=2500s eta=46837s
  [84/1638] t=8 m=50 w=0 | elapsed=2530s eta=46805s
  [85/1638] t=8 m=60 w=0 | elapsed=2560s eta=46772s
  [86/1638] t=8 m=70 w=0 | elapsed=2590s eta=46740s
  [87/1638] t=8 m=80 w=0 | elapsed=2620s eta=46708s
  [88/1638] t=8 m=90 w=0 | elapsed=2650s eta=46676s
  [89/1638] t=8 m=100 w=0 | elapsed=2680s eta=46644s
  [90/1638] t=8 m=150 w=0 | elapsed=2711s eta=46629s
  [91/1638] t=8 m=200 w=0 | elapsed=2741s eta=46597s
  [92/1638] t=8 m=250 w=0 | elapsed=2771s eta=46564s
  [93/1638] t=8 m=300 w=0 | elapsed=2801s eta=46532s
  [94/1638] t=8 m=400 w=0 | elapsed=2831s eta=46500s
  [95/1638] t=8 m=500 w=0 | elapsed=2861s eta=46468s
  [96/1638] t=8 m=700 w=0 | elapsed=2891s eta=46436s
  [97/1638] t=8 m=1000 w=0 | elapsed=2921s eta=46404s
  [98/1638] t=8 m=2000 w=0 | elapsed=2951s eta=46372s
  [99/1638] t=8 m=3000 w=0 | elapsed=2982s eta=46356s
  [100/1638] t=8 m=5000 w=0 | elapsed=3012s eta=46324s
  [101/1638] t=8 m=7000 w=0 | elapsed=3042s eta=46292s
  [102/1638] t=8 m=10000 w=0 | elapsed=3072s eta=46260s
  [103/1638] t=8 m=20000 w=0 | elapsed=3102s eta=46228s
  [104/1638] t=8 m=50000 w=0 | elapsed=3132s eta=46197s
  [105/1638] t=16 m=0 w=0 | elapsed=3162s eta=46165s
  [106/1638] t=16 m=10 w=0 | elapsed=3192s eta=46133s
  [107/1638] t=16 m=20 w=0 | elapsed=3222s eta=46101s
  [108/1638] t=16 m=30 w=0 | elapsed=3253s eta=46084s
  [109/1638] t=16 m=40 w=0 | elapsed=3283s eta=46052s
  [110/1638] t=16 m=50 w=0 | elapsed=3313s eta=46020s
  [111/1638] t=16 m=60 w=0 | elapsed=3343s eta=45988s
  [112/1638] t=16 m=70 w=0 | elapsed=3373s eta=45957s
  [113/1638] t=16 m=80 w=0 | elapsed=3403s eta=45925s
  [114/1638] t=16 m=90 w=0 | elapsed=3433s eta=45893s
  [115/1638] t=16 m=100 w=0 | elapsed=3463s eta=45862s
  [116/1638] t=16 m=150 w=0 | elapsed=3493s eta=45830s
  [117/1638] t=16 m=200 w=0 | elapsed=3524s eta=45812s
  [118/1638] t=16 m=250 w=0 | elapsed=3554s eta=45780s
  [119/1638] t=16 m=300 w=0 | elapsed=3584s eta=45748s
  [120/1638] t=16 m=400 w=0 | elapsed=3614s eta=45717s
  [121/1638] t=16 m=500 w=0 | elapsed=3644s eta=45685s
  [122/1638] t=16 m=700 w=0 | elapsed=3674s eta=45653s
