m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,1430707.70,4133589.73,56994.6000,47421.1000,1
10,1487733.77,2652136.13,38495.8667,30714.4000,1
20,1537433.50,2225340.73,32674.8667,25985.7667,1
30,1545162.17,1999521.30,31985.4667,25535.7333,1
40,1587860.13,1878133.67,29280.5000,22889.0000,1
50,1574983.43,1790138.80,28743.5000,22434.3000,1
60,1571901.83,1718792.10,26362.6000,20554.5333,1
70,1602752.67,1610162.90,23812.6000,18786.9333,1
80,1626533.80,1494571.00,24487.2333,19212.5333,1
90,1626375.47,1402482.63,22735.6667,17913.3333,1
100,1641154.47,1337611.47,21977.5667,17654.1667,1
