m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,1500630.03,3644124.37,51491.2333,41475.1000,1
10,1538360.93,2653425.13,34900.6000,28992.7333,1
20,1548338.73,2478780.13,34087.3000,27435.1000,1
