m,throughput_avg,ut_delay_per_sec_avg,yield_per_sec_avg,sleep_per_sec_avg,n
0,1865853.07,0.00,0.0000,0.0000,1
10,1865840.53,0.00,0.0000,0.0000,1
20,1865822.90,0.00,0.0000,0.0000,1
30,1865842.77,0.00,0.0000,0.0000,1
40,1865838.17,0.00,0.0000,0.0000,1
50,1865833.87,0.00,0.0000,0.0000,1
60,1865833.80,0.00,0.0000,0.0000,1
70,1865839.13,0.00,0.0000,0.0000,1
80,1865815.60,0.00,0.0000,0.0000,1
90,1865839.13,0.00,0.0000,0.0000,1
100,1865833.17,0.00,0.0000,0.0000,1
