=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [324/1638] t=8 m=150 w=100 | elapsed=9604s eta=39560s
  [325/1638] t=8 m=200 w=100 | elapsed=9634s eta=39529s
  [326/1638] t=8 m=250 w=100 | elapsed=9664s eta=39498s
  [327/1638] t=8 m=300 w=100 | elapsed=9695s eta=39472s
  [328/1638] t=8 m=400 w=100 | elapsed=9725s eta=39441s
  [329/1638] t=8 m=500 w=100 | elapsed=9755s eta=39411s
  [330/1638] t=8 m=700 w=100 | elapsed=9785s eta=39380s
  [331/1638] t=8 m=1000 w=100 | elapsed=9815s eta=39350s
  [332/1638] t=8 m=2000 w=100 | elapsed=9845s eta=39319s
  [333/1638] t=8 m=3000 w=100 | elapsed=9875s eta=39289s
  [334/1638] t=8 m=5000 w=100 | elapsed=9905s eta=39258s
  [335/1638] t=8 m=7000 w=100 | elapsed=9935s eta=39228s
  [336/1638] t=8 m=10000 w=100 | elapsed=9966s eta=39201s
  [337/1638] t=8 m=20000 w=100 | elapsed=9996s eta=39171s
  [338/1638] t=8 m=50000 w=100 | elapsed=10026s eta=39140s
  [339/1638] t=16 m=0 w=100 | elapsed=10056s eta=39110s
  [340/1638] t=16 m=10 w=100 | elapsed=10086s eta=39079s
  [341/1638] t=16 m=20 w=100 | elapsed=10116s eta=39048s
  [342/1638] t=16 m=30 w=100 | elapsed=10146s eta=39018s
  [343/1638] t=16 m=40 w=100 | elapsed=10176s eta=38987s
  [344/1638] t=16 m=50 w=100 | elapsed=10206s eta=38957s
  [345/1638] t=16 m=60 w=100 | elapsed=10237s eta=38930s
  [346/1638] t=16 m=70 w=100 | elapsed=10267s eta=38900s
  [347/1638] t=16 m=80 w=100 | elapsed=10297s eta=38869s
  [348/1638] t=16 m=90 w=100 | elapsed=10327s eta=38839s
  [349/1638] t=16 m=100 w=100 | elapsed=10357s eta=38808s
  [350/1638] t=16 m=150 w=100 | elapsed=10387s eta=38778s
  [351/1638] t=16 m=200 w=100 | elapsed=10417s eta=38747s
  [352/1638] t=16 m=250 w=100 | elapsed=10447s eta=38717s
  [353/1638] t=16 m=300 w=100 | elapsed=10477s eta=38686s
  [354/1638] t=16 m=400 w=100 | elapsed=10507s eta=38656s
  [355/1638] t=16 m=500 w=100 | elapsed=10538s eta=38629s
  [356/1638] t=16 m=700 w=100 | elapsed=10568s eta=38598s
  [357/1638] t=16 m=1000 w=100 | elapsed=10598s eta=38568s
  [358/1638] t=16 m=2000 w=100 | elapsed=10628s eta=38537s
  [359/1638] t=16 m=3000 w=100 | elapsed=10658s eta=38507s
  [360/1638] t=16 m=5000 w=100 | elapsed=10688s eta=38476s
  [361/1638] t=16 m=7000 w=100 | elapsed=10718s eta=38446s
  [362/1638] t=16 m=10000 w=100 | elapsed=10748s eta=38415s
  [363/1638] t=16 m=20000 w=100 | elapsed=10778s eta=38385s
  [364/1638] t=16 m=50000 w=100 | elapsed=10809s eta=38358s
  [365/1638] t=32 m=0 w=100 | elapsed=10839s eta=38327s
  [366/1638] t=32 m=10 w=100 | elapsed=10869s eta=38297s
  [367/1638] t=32 m=20 w=100 | elapsed=10899s eta=38266s
  [368/1638] t=32 m=30 w=100 | elapsed=10929s eta=38236s
  [369/1638] t=32 m=40 w=100 | elapsed=10959s eta=38205s
  [370/1638] t=32 m=50 w=100 | elapsed=10989s eta=38175s
  [371/1638] t=32 m=60 w=100 | elapsed=11019s eta=38145s
  [372/1638] t=32 m=70 w=100 | elapsed=11049s eta=38114s
  [373/1638] t=32 m=80 w=100 | elapsed=11080s eta=38087s
  [374/1638] t=32 m=90 w=100 | elapsed=11110s eta=38057s
  [375/1638] t=32 m=100 w=100 | elapsed=11140s eta=38026s
  [376/1638] t=32 m=150 w=100 | elapsed=11170s eta=37996s
  [377/1638] t=32 m=200 w=100 | elapsed=11200s eta=37965s
  [378/1638] t=32 m=250 w=100 | elapsed=11230s eta=37935s
  [379/1638] t=32 m=300 w=100 | elapsed=11260s eta=37904s
  [380/1638] t=32 m=400 w=100 | elapsed=11290s eta=37874s
  [381/1638] t=32 m=500 w=100 | elapsed=11320s eta=37843s
  [382/1638] t=32 m=700 w=100 | elapsed=11350s eta=37813s
  [383/1638] t=32 m=1000 w=100 | elapsed=11381s eta=37786s
  [384/1638] t=32 m=2000 w=100 | elapsed=11411s eta=37755s
  [385/1638] t=32 m=3000 w=100 | elapsed=11441s eta=37725s
  [386/1638] t=32 m=5000 w=100 | elapsed=11471s eta=37694s
  [387/1638] t=32 m=7000 w=100 | elapsed=11501s eta=37664s
  [388/1638] t=32 m=10000 w=100 | elapsed=11531s eta=37633s
  [389/1638] t=32 m=20000 w=100 | elapsed=11561s eta=37603s
  [390/1638] t=32 m=50000 w=100 | elapsed=11591s eta=37572s
--- w=100ns, rep=3/3 ---
  [391/1638] t=8 m=0 w=100 | elapsed=11621s eta=37542s
  [392/1638] t=8 m=10 w=100 | elapsed=11652s eta=37515s
  [393/1638] t=8 m=20 w=100 | elapsed=11682s eta=37484s
  [394/1638] t=8 m=30 w=100 | elapsed=11712s eta=37454s
  [395/1638] t=8 m=40 w=100 | elapsed=11742s eta=37423s
  [396/1638] t=8 m=50 w=100 | elapsed=11772s eta=37393s
  [397/1638] t=8 m=60 w=100 | elapsed=11802s eta=37362s
  [398/1638] t=8 m=70 w=100 | elapsed=11832s eta=37332s
  [399/1638] t=8 m=80 w=100 | elapsed=11862s eta=37302s
  [400/1638] t=8 m=90 w=100 | elapsed=11892s eta=37271s
  [401/1638] t=8 m=100 w=100 | elapsed=11923s eta=37244s
  [402/1638] t=8 m=150 w=100 | elapsed=11953s eta=37213s
  [403/1638] t=8 m=200 w=100 | elapsed=11983s eta=37183s
  [404/1638] t=8 m=250 w=100 | elapsed=12013s eta=37152s
  [405/1638] t=8 m=300 w=100 | elapsed=12043s eta=37122s
  [406/1638] t=8 m=400 w=100 | elapsed=12073s eta=37092s
  [407/1638] t=8 m=500 w=100 | elapsed=12103s eta=37061s
  [408/1638] t=8 m=700 w=100 | elapsed=12133s eta=37031s
  [409/1638] t=8 m=1000 w=100 | elapsed=12163s eta=37000s
  [410/1638] t=8 m=2000 w=100 | elapsed=12194s eta=36973s
  [411/1638] t=8 m=3000 w=100 | elapsed=12224s eta=36942s
  [412/1638] t=8 m=5000 w=100 | elapsed=12254s eta=36912s
  [413/1638] t=8 m=7000 w=100 | elapsed=12284s eta=36882s
  [414/1638] t=8 m=10000 w=100 | elapsed=12314s eta=36851s
  [415/1638] t=8 m=20000 w=100 | elapsed=12344s eta=36821s
  [416/1638] t=8 m=50000 w=100 | elapsed=12374s eta=36790s
  [417/1638] t=16 m=0 w=100 | elapsed=12404s eta=36760s
  [418/1638] t=16 m=10 w=100 | elapsed=12434s eta=36729s
  [419/1638] t=16 m=20 w=100 | elapsed=12464s eta=36699s
  [420/1638] t=16 m=30 w=100 | elapsed=12495s eta=36672s
  [421/1638] t=16 m=40 w=100 | elapsed=12525s eta=36641s
  [422/1638] t=16 m=50 w=100 | elapsed=12555s eta=36611s
  [423/1638] t=16 m=60 w=100 | elapsed=12585s eta=36580s
  [424/1638] t=16 m=70 w=100 | elapsed=12615s eta=36550s
  [425/1638] t=16 m=80 w=100 | elapsed=12645s eta=36519s
  [426/1638] t=16 m=90 w=100 | elapsed=12675s eta=36489s
  [427/1638] t=16 m=100 w=100 | elapsed=12705s eta=36459s
  [428/1638] t=16 m=150 w=100 | elapsed=12735s eta=36428s
  [429/1638] t=16 m=200 w=100 | elapsed=12766s eta=36401s
  [430/1638] t=16 m=250 w=100 | elapsed=12796s eta=36370s
  [431/1638] t=16 m=300 w=100 | elapsed=12826s eta=36340s
  [432/1638] t=16 m=400 w=100 | elapsed=12856s eta=36309s
  [433/1638] t=16 m=500 w=100 | elapsed=12886s eta=36279s
  [434/1638] t=16 m=700 w=100 | elapsed=12916s eta=36249s
  [435/1638] t=16 m=1000 w=100 | elapsed=12946s eta=36218s
  [436/1638] t=16 m=2000 w=100 | elapsed=12976s eta=36188s
  [437/1638] t=16 m=3000 w=100 | elapsed=13006s eta=36157s
  [438/1638] t=16 m=5000 w=100 | elapsed=13036s eta=36127s
  [439/1638] t=16 m=7000 w=100 | elapsed=13067s eta=36099s
  [440/1638] t=16 m=10000 w=100 | elapsed=13097s eta=36069s
  [441/1638] t=16 m=20000 w=100 | elapsed=13127s eta=36039s
  [442/1638] t=16 m=50000 w=100 | elapsed=13157s eta=36008s
  [443/1638] t=32 m=0 w=100 | elapsed=13187s eta=35978s
  [444/1638] t=32 m=10 w=100 | elapsed=13217s eta=35947s
  [445/1638] t=32 m=20 w=100 | elapsed=13247s eta=35917s
  [446/1638] t=32 m=30 w=100 | elapsed=13277s eta=35887s
  [447/1638] t=32 m=40 w=100 | elapsed=13307s eta=35856s
  [448/1638] t=32 m=50 w=100 | elapsed=13338s eta=35828s
  [449/1638] t=32 m=60 w=100 | elapsed=13368s eta=35798s
  [450/1638] t=32 m=70 w=100 | elapsed=13398s eta=35768s
  [451/1638] t=32 m=80 w=100 | elapsed=13428s eta=35737s
  [452/1638] t=32 m=90 w=100 | elapsed=13458s eta=35707s
  [453/1638] t=32 m=100 w=100 | elapsed=13488s eta=35676s
  [454/1638] t=32 m=150 w=100 | elapsed=13518s eta=35646s
  [455/1638] t=32 m=200 w=100 | elapsed=13548s eta=35616s
  [456/1638] t=32 m=250 w=100 | elapsed=13578s eta=35585s
  [457/1638] t=32 m=300 w=100 | elapsed=13609s eta=35558s
  [458/1638] t=32 m=400 w=100 | elapsed=13639s eta=35527s
  [459/1638] t=32 m=500 w=100 | elapsed=13669s eta=35497s
  [460/1638] t=32 m=700 w=100 | elapsed=13699s eta=35466s
  [461/1638] t=32 m=1000 w=100 | elapsed=13729s eta=35436s
  [462/1638] t=32 m=2000 w=100 | elapsed=13759s eta=35406s
  [463/1638] t=32 m=3000 w=100 | elapsed=13789s eta=35375s
  [464/1638] t=32 m=5000 w=100 | elapsed=13819s eta=35345s
  [465/1638] t=32 m=7000 w=100 | elapsed=13849s eta=35314s
  [466/1638] t=32 m=10000 w=100 | elapsed=13880s eta=35287s
  [467/1638] t=32 m=20000 w=100 | elapsed=13910s eta=35256s
  [468/1638] t=32 m=50000 w=100 | elapsed=13940s eta=35226s
--- w=200ns, rep=1/3 ---
  [469/1638] t=8 m=0 w=200 | elapsed=13970s eta=35195s
  [470/1638] t=8 m=10 w=200 | elapsed=14000s eta=35165s
  [471/1638] t=8 m=20 w=200 | elapsed=14030s eta=35135s
  [472/1638] t=8 m=30 w=200 | elapsed=14060s eta=35104s
  [473/1638] t=8 m=40 w=200 | elapsed=14090s eta=35074s
  [474/1638] t=8 m=50 w=200 | elapsed=14120s eta=35044s
  [475/1638] t=8 m=60 w=200 | elapsed=14151s eta=35016s
  [476/1638] t=8 m=70 w=200 | elapsed=14181s eta=34985s
  [477/1638] t=8 m=80 w=200 | elapsed=14211s eta=34955s
  [478/1638] t=8 m=90 w=200 | elapsed=14241s eta=34925s
  [479/1638] t=8 m=100 w=200 | elapsed=14271s eta=34894s
  [480/1638] t=8 m=150 w=200 | elapsed=14301s eta=34864s
  [481/1638] t=8 m=200 w=200 | elapsed=14331s eta=34833s
  [482/1638] t=8 m=250 w=200 | elapsed=14361s eta=34803s
  [483/1638] t=8 m=300 w=200 | elapsed=14391s eta=34773s
  [484/1638] t=8 m=400 w=200 | elapsed=14421s eta=34742s
  [485/1638] t=8 m=500 w=200 | elapsed=14452s eta=34714s
  [486/1638] t=8 m=700 w=200 | elapsed=14482s eta=34684s
  [487/1638] t=8 m=1000 w=200 | elapsed=14512s eta=34654s
  [488/1638] t=8 m=2000 w=200 | elapsed=14542s eta=34623s
  [489/1638] t=8 m=3000 w=200 | elapsed=14572s eta=34593s
  [490/1638] t=8 m=5000 w=200 | elapsed=14602s eta=34563s
  [491/1638] t=8 m=7000 w=200 | elapsed=14632s eta=34532s
  [492/1638] t=8 m=10000 w=200 | elapsed=14662s eta=34502s
  [493/1638] t=8 m=20000 w=200 | elapsed=14692s eta=34472s
  [494/1638] t=8 m=50000 w=200 | elapsed=14723s eta=34443s
  [495/1638] t=16 m=0 w=200 | elapsed=14753s eta=34413s
  [496/1638] t=16 m=10 w=200 | elapsed=14783s eta=34383s
  [497/1638] t=16 m=20 w=200 | elapsed=14813s eta=34352s
  [498/1638] t=16 m=30 w=200 | elapsed=14843s eta=34322s
  [499/1638] t=16 m=40 w=200 | elapsed=14873s eta=34292s
  [500/1638] t=16 m=50 w=200 | elapsed=14903s eta=34261s
  [501/1638] t=16 m=60 w=200 | elapsed=14933s eta=34231s
  [502/1638] t=16 m=70 w=200 | elapsed=14963s eta=34201s
  [503/1638] t=16 m=80 w=200 | elapsed=14993s eta=34170s
  [504/1638] t=16 m=90 w=200 | elapsed=15024s eta=34142s
  [505/1638] t=16 m=100 w=200 | elapsed=15054s eta=34112s
  [506/1638] t=16 m=150 w=200 | elapsed=15084s eta=34082s
  [507/1638] t=16 m=200 w=200 | elapsed=15114s eta=34051s
  [508/1638] t=16 m=250 w=200 | elapsed=15144s eta=34021s
  [509/1638] t=16 m=300 w=200 | elapsed=15174s eta=33990s
  [510/1638] t=16 m=400 w=200 | elapsed=15204s eta=33960s
  [511/1638] t=16 m=500 w=200 | elapsed=15234s eta=33930s
  [512/1638] t=16 m=700 w=200 | elapsed=15264s eta=33899s
  [513/1638] t=16 m=1000 w=200 | elapsed=15295s eta=33871s
  [514/1638] t=16 m=2000 w=200 | elapsed=15325s eta=33841s
  [515/1638] t=16 m=3000 w=200 | elapsed=15355s eta=33811s
  [516/1638] t=16 m=5000 w=200 | elapsed=15385s eta=33780s
  [517/1638] t=16 m=7000 w=200 | elapsed=15415s eta=33750s
  [518/1638] t=16 m=10000 w=200 | elapsed=15445s eta=33720s
  [519/1638] t=16 m=20000 w=200 | elapsed=15475s eta=33689s
  [520/1638] t=16 m=50000 w=200 | elapsed=15505s eta=33659s
  [521/1638] t=32 m=0 w=200 | elapsed=15535s eta=33629s
  [522/1638] t=32 m=10 w=200 | elapsed=15566s eta=33600s
  [523/1638] t=32 m=20 w=200 | elapsed=15596s eta=33570s
  [524/1638] t=32 m=30 w=200 | elapsed=15626s eta=33540s
  [525/1638] t=32 m=40 w=200 | elapsed=15656s eta=33509s
  [526/1638] t=32 m=50 w=200 | elapsed=15686s eta=33479s
  [527/1638] t=32 m=60 w=200 | elapsed=15716s eta=33449s
  [528/1638] t=32 m=70 w=200 | elapsed=15746s eta=33418s
  [529/1638] t=32 m=80 w=200 | elapsed=15776s eta=33388s
  [530/1638] t=32 m=90 w=200 | elapsed=15806s eta=33358s
  [531/1638] t=32 m=100 w=200 | elapsed=15837s eta=33329s
  [532/1638] t=32 m=150 w=200 | elapsed=15867s eta=33299s
  [533/1638] t=32 m=200 w=200 | elapsed=15897s eta=33269s
  [534/1638] t=32 m=250 w=200 | elapsed=15927s eta=33238s
  [535/1638] t=32 m=300 w=200 | elapsed=15957s eta=33208s
  [536/1638] t=32 m=400 w=200 | elapsed=15987s eta=33178s
  [537/1638] t=32 m=500 w=200 | elapsed=16017s eta=33147s
  [538/1638] t=32 m=700 w=200 | elapsed=16047s eta=33117s
  [539/1638] t=32 m=1000 w=200 | elapsed=16077s eta=33087s
  [540/1638] t=32 m=2000 w=200 | elapsed=16107s eta=33056s
  [541/1638] t=32 m=3000 w=200 | elapsed=16138s eta=33028s
  [542/1638] t=32 m=5000 w=200 | elapsed=16168s eta=32998s
  [543/1638] t=32 m=7000 w=200 | elapsed=16198s eta=32968s
  [544/1638] t=32 m=10000 w=200 | elapsed=16228s eta=32937s
  [545/1638] t=32 m=20000 w=200 | elapsed=16258s eta=32907s
  [546/1638] t=32 m=50000 w=200 | elapsed=16288s eta=32877s
--- w=200ns, rep=2/3 ---
  [547/1638] t=8 m=0 w=200 | elapsed=16318s eta=32846s
  [548/1638] t=8 m=10 w=200 | elapsed=16348s eta=32816s
  [549/1638] t=8 m=20 w=200 | elapsed=16378s eta=32786s
  [550/1638] t=8 m=30 w=200 | elapsed=16409s eta=32757s
  [551/1638] t=8 m=40 w=200 | elapsed=16439s eta=32727s
  [552/1638] t=8 m=50 w=200 | elapsed=16469s eta=32697s
  [553/1638] t=8 m=60 w=200 | elapsed=16499s eta=32666s
  [554/1638] t=8 m=70 w=200 | elapsed=16529s eta=32636s
  [555/1638] t=8 m=80 w=200 | elapsed=16559s eta=32606s
  [556/1638] t=8 m=90 w=200 | elapsed=16589s eta=32575s
  [557/1638] t=8 m=100 w=200 | elapsed=16619s eta=32545s
  [558/1638] t=8 m=150 w=200 | elapsed=16649s eta=32515s
  [559/1638] t=8 m=200 w=200 | elapsed=16680s eta=32486s
  [560/1638] t=8 m=250 w=200 | elapsed=16710s eta=32456s
  [561/1638] t=8 m=300 w=200 | elapsed=16740s eta=32426s
  [562/1638] t=8 m=400 w=200 | elapsed=16770s eta=32395s
  [563/1638] t=8 m=500 w=200 | elapsed=16800s eta=32365s
  [564/1638] t=8 m=700 w=200 | elapsed=16830s eta=32335s
  [565/1638] t=8 m=1000 w=200 | elapsed=16860s eta=32304s
  [566/1638] t=8 m=2000 w=200 | elapsed=16890s eta=32274s
  [567/1638] t=8 m=3000 w=200 | elapsed=16920s eta=32244s
  [568/1638] t=8 m=5000 w=200 | elapsed=16951s eta=32215s
  [569/1638] t=8 m=7000 w=200 | elapsed=16981s eta=32185s
  [570/1638] t=8 m=10000 w=200 | elapsed=17011s eta=32155s
  [571/1638] t=8 m=20000 w=200 | elapsed=17041s eta=32124s
  [572/1638] t=8 m=50000 w=200 | elapsed=17071s eta=32094s
  [573/1638] t=16 m=0 w=200 | elapsed=17101s eta=32064s
  [574/1638] t=16 m=10 w=200 | elapsed=17131s eta=32034s
  [575/1638] t=16 m=20 w=200 | elapsed=17161s eta=32003s
  [576/1638] t=16 m=30 w=200 | elapsed=17191s eta=31973s
  [577/1638] t=16 m=40 w=200 | elapsed=17221s eta=31943s
  [578/1638] t=16 m=50 w=200 | elapsed=17252s eta=31914s
  [579/1638] t=16 m=60 w=200 | elapsed=17282s eta=31884s
  [580/1638] t=16 m=70 w=200 | elapsed=17312s eta=31854s
  [581/1638] t=16 m=80 w=200 | elapsed=17342s eta=31823s
  [582/1638] t=16 m=90 w=200 | elapsed=17372s eta=31793s
  [583/1638] t=16 m=100 w=200 | elapsed=17402s eta=31763s
  [584/1638] t=16 m=150 w=200 | elapsed=17432s eta=31732s
  [585/1638] t=16 m=200 w=200 | elapsed=17462s eta=31702s
  [586/1638] t=16 m=250 w=200 | elapsed=17492s eta=31672s
  [587/1638] t=16 m=300 w=200 | elapsed=17523s eta=31643s
  [588/1638] t=16 m=400 w=200 | elapsed=17553s eta=31613s
  [589/1638] t=16 m=500 w=200 | elapsed=17583s eta=31583s
  [590/1638] t=16 m=700 w=200 | elapsed=17613s eta=31552s
  [591/1638] t=16 m=1000 w=200 | elapsed=17643s eta=31522s
  [592/1638] t=16 m=2000 w=200 | elapsed=17673s eta=31492s
  [593/1638] t=16 m=3000 w=200 | elapsed=17703s eta=31461s
  [594/1638] t=16 m=5000 w=200 | elapsed=17733s eta=31431s
  [595/1638] t=16 m=7000 w=200 | elapsed=17763s eta=31401s
  [596/1638] t=16 m=10000 w=200 | elapsed=17793s eta=31371s
  [597/1638] t=16 m=20000 w=200 | elapsed=17824s eta=31342s
  [598/1638] t=16 m=50000 w=200 | elapsed=17854s eta=31312s
  [599/1638] t=32 m=0 w=200 | elapsed=17884s eta=31281s
  [600/1638] t=32 m=10 w=200 | elapsed=17914s eta=31251s
  [601/1638] t=32 m=20 w=200 | elapsed=17944s eta=31221s
  [602/1638] t=32 m=30 w=200 | elapsed=17974s eta=31191s
  [603/1638] t=32 m=40 w=200 | elapsed=18004s eta=31160s
  [604/1638] t=32 m=50 w=200 | elapsed=18034s eta=31130s
  [605/1638] t=32 m=60 w=200 | elapsed=18064s eta=31100s
  [606/1638] t=32 m=70 w=200 | elapsed=18095s eta=31071s
  [607/1638] t=32 m=80 w=200 | elapsed=18125s eta=31041s
  [608/1638] t=32 m=90 w=200 | elapsed=18155s eta=31011s
  [609/1638] t=32 m=100 w=200 | elapsed=18185s eta=30980s
  [610/1638] t=32 m=150 w=200 | elapsed=18215s eta=30950s
  [611/1638] t=32 m=200 w=200 | elapsed=18245s eta=30920s
  [612/1638] t=32 m=250 w=200 | elapsed=18275s eta=30889s
  [613/1638] t=32 m=300 w=200 | elapsed=18305s eta=30859s
  [614/1638] t=32 m=400 w=200 | elapsed=18335s eta=30829s
  [615/1638] t=32 m=500 w=200 | elapsed=18366s eta=30800s
  [616/1638] t=32 m=700 w=200 | elapsed=18396s eta=30770s
  [617/1638] t=32 m=1000 w=200 | elapsed=18426s eta=30740s
  [618/1638] t=32 m=2000 w=200 | elapsed=18456s eta=30709s
  [619/1638] t=32 m=3000 w=200 | elapsed=18486s eta=30679s
  [620/1638] t=32 m=5000 w=200 | elapsed=18516s eta=30649s
  [621/1638] t=32 m=7000 w=200 | elapsed=18546s eta=30618s
  [622/1638] t=32 m=10000 w=200 | elapsed=18576s eta=30588s
  [623/1638] t=32 m=20000 w=200 | elapsed=18606s eta=30558s
  [624/1638] t=32 m=50000 w=200 | elapsed=18637s eta=30529s
--- w=200ns, rep=3/3 ---
  [625/1638] t=8 m=0 w=200 | elapsed=18667s eta=30499s
  [626/1638] t=8 m=10 w=200 | elapsed=18697s eta=30469s
  [627/1638] t=8 m=20 w=200 | elapsed=18727s eta=30438s
  [628/1638] t=8 m=30 w=200 | elapsed=18757s eta=30408s
  [629/1638] t=8 m=40 w=200 | elapsed=18787s eta=30378s
  [630/1638] t=8 m=50 w=200 | elapsed=18817s eta=30348s
  [631/1638] t=8 m=60 w=200 | elapsed=18847s eta=30317s
  [632/1638] t=8 m=70 w=200 | elapsed=18877s eta=30287s
  [633/1638] t=8 m=80 w=200 | elapsed=18908s eta=30258s
  [634/1638] t=8 m=90 w=200 | elapsed=18938s eta=30228s
  [635/1638] t=8 m=100 w=200 | elapsed=18968s eta=30198s
  [636/1638] t=8 m=150 w=200 | elapsed=18998s eta=30167s
  [637/1638] t=8 m=200 w=200 | elapsed=19028s eta=30137s
  [638/1638] t=8 m=250 w=200 | elapsed=19058s eta=30107s
  [639/1638] t=8 m=300 w=200 | elapsed=19088s eta=30077s
  [640/1638] t=8 m=400 w=200 | elapsed=19118s eta=30046s
  [641/1638] t=8 m=500 w=200 | elapsed=19148s eta=30016s
  [642/1638] t=8 m=700 w=200 | elapsed=19178s eta=29986s
  [643/1638] t=8 m=1000 w=200 | elapsed=19209s eta=29957s
  [644/1638] t=8 m=2000 w=200 | elapsed=19239s eta=29927s
  [645/1638] t=8 m=3000 w=200 | elapsed=19269s eta=29897s
  [646/1638] t=8 m=5000 w=200 | elapsed=19299s eta=29866s
  [647/1638] t=8 m=7000 w=200 | elapsed=19329s eta=29836s
  [648/1638] t=8 m=10000 w=200 | elapsed=19359s eta=29806s
  [649/1638] t=8 m=20000 w=200 | elapsed=19389s eta=29775s
  [650/1638] t=8 m=50000 w=200 | elapsed=19419s eta=29745s
  [651/1638] t=16 m=0 w=200 | elapsed=19449s eta=29715s
  [652/1638] t=16 m=10 w=200 | elapsed=19480s eta=29686s
  [653/1638] t=16 m=20 w=200 | elapsed=19510s eta=29656s
  [654/1638] t=16 m=30 w=200 | elapsed=19540s eta=29626s
  [655/1638] t=16 m=40 w=200 | elapsed=19570s eta=29595s
  [656/1638] t=16 m=50 w=200 | elapsed=19600s eta=29565s
  [657/1638] t=16 m=60 w=200 | elapsed=19630s eta=29535s
  [658/1638] t=16 m=70 w=200 | elapsed=19660s eta=29505s
  [659/1638] t=16 m=80 w=200 | elapsed=19690s eta=29474s
  [660/1638] t=16 m=90 w=200 | elapsed=19720s eta=29444s
  [661/1638] t=16 m=100 w=200 | elapsed=19750s eta=29414s
  [662/1638] t=16 m=150 w=200 | elapsed=19781s eta=29385s
  [663/1638] t=16 m=200 w=200 | elapsed=19811s eta=29355s
  [664/1638] t=16 m=250 w=200 | elapsed=19841s eta=29324s
  [665/1638] t=16 m=300 w=200 | elapsed=19871s eta=29294s
  [666/1638] t=16 m=400 w=200 | elapsed=19901s eta=29264s
  [667/1638] t=16 m=500 w=200 | elapsed=19931s eta=29234s
  [668/1638] t=16 m=700 w=200 | elapsed=19961s eta=29203s
  [669/1638] t=16 m=1000 w=200 | elapsed=19991s eta=29173s
  [670/1638] t=16 m=2000 w=200 | elapsed=20021s eta=29143s
  [671/1638] t=16 m=3000 w=200 | elapsed=20052s eta=29114s
  [672/1638] t=16 m=5000 w=200 | elapsed=20082s eta=29084s
  [673/1638] t=16 m=7000 w=200 | elapsed=20112s eta=29054s
  [674/1638] t=16 m=10000 w=200 | elapsed=20142s eta=29023s
  [675/1638] t=16 m=20000 w=200 | elapsed=20172s eta=28993s
  [676/1638] t=16 m=50000 w=200 | elapsed=20202s eta=28963s
  [677/1638] t=32 m=0 w=200 | elapsed=20232s eta=28932s
  [678/1638] t=32 m=10 w=200 | elapsed=20262s eta=28902s
  [679/1638] t=32 m=20 w=200 | elapsed=20292s eta=28872s
  [680/1638] t=32 m=30 w=200 | elapsed=20323s eta=28843s
  [681/1638] t=32 m=40 w=200 | elapsed=20353s eta=28813s
  [682/1638] t=32 m=50 w=200 | elapsed=20383s eta=28783s
  [683/1638] t=32 m=60 w=200 | elapsed=20413s eta=28752s
  [684/1638] t=32 m=70 w=200 | elapsed=20443s eta=28722s
  [685/1638] t=32 m=80 w=200 | elapsed=20473s eta=28692s
  [686/1638] t=32 m=90 w=200 | elapsed=20503s eta=28662s
  [687/1638] t=32 m=100 w=200 | elapsed=20533s eta=28631s
  [688/1638] t=32 m=150 w=200 | elapsed=20563s eta=28601s
  [689/1638] t=32 m=200 w=200 | elapsed=20593s eta=28571s
  [690/1638] t=32 m=250 w=200 | elapsed=20624s eta=28542s
  [691/1638] t=32 m=300 w=200 | elapsed=20654s eta=28512s
  [692/1638] t=32 m=400 w=200 | elapsed=20684s eta=28481s
  [693/1638] t=32 m=500 w=200 | elapsed=20714s eta=28451s
  [694/1638] t=32 m=700 w=200 | elapsed=20744s eta=28421s
  [695/1638] t=32 m=1000 w=200 | elapsed=20774s eta=28391s
  [696/1638] t=32 m=2000 w=200 | elapsed=20804s eta=28360s
  [697/1638] t=32 m=3000 w=200 | elapsed=20834s eta=28330s
  [698/1638] t=32 m=5000 w=200 | elapsed=20864s eta=28300s
  [699/1638] t=32 m=7000 w=200 | elapsed=20895s eta=28271s
  [700/1638] t=32 m=10000 w=200 | elapsed=20925s eta=28241s
  [701/1638] t=32 m=20000 w=200 | elapsed=20955s eta=28210s
  [702/1638] t=32 m=50000 w=200 | elapsed=20985s eta=28180s
--- w=500ns, rep=1/3 ---
