=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [82/1638] t=8 m=30 w=0 | elapsed=2318s eta=46841s
  [83/1638] t=8 m=40 w=0 | elapsed=2348s eta=46809s
  [84/1638] t=8 m=50 w=0 | elapsed=2378s eta=46777s
  [85/1638] t=8 m=60 w=0 | elapsed=2409s eta=46764s
  [86/1638] t=8 m=70 w=0 | elapsed=2439s eta=46732s
  [87/1638] t=8 m=80 w=0 | elapsed=2469s eta=46700s
  [88/1638] t=8 m=90 w=0 | elapsed=2499s eta=46668s
  [89/1638] t=8 m=100 w=0 | elapsed=2529s eta=46635s
  [90/1638] t=8 m=150 w=0 | elapsed=2559s eta=46603s
  [91/1638] t=8 m=200 w=0 | elapsed=2589s eta=46571s
  [92/1638] t=8 m=250 w=0 | elapsed=2619s eta=46539s
  [93/1638] t=8 m=300 w=0 | elapsed=2649s eta=46508s
  [94/1638] t=8 m=400 w=0 | elapsed=2679s eta=46476s
  [95/1638] t=8 m=500 w=0 | elapsed=2710s eta=46461s
  [96/1638] t=8 m=700 w=0 | elapsed=2740s eta=46429s
  [97/1638] t=8 m=1000 w=0 | elapsed=2770s eta=46397s
  [98/1638] t=8 m=2000 w=0 | elapsed=2800s eta=46365s
  [99/1638] t=8 m=3000 w=0 | elapsed=2830s eta=46333s
  [100/1638] t=8 m=5000 w=0 | elapsed=2860s eta=46301s
  [101/1638] t=8 m=7000 w=0 | elapsed=2890s eta=46270s
  [102/1638] t=8 m=10000 w=0 | elapsed=2920s eta=46238s
  [103/1638] t=8 m=20000 w=0 | elapsed=2950s eta=46206s
  [104/1638] t=8 m=50000 w=0 | elapsed=2981s eta=46190s
  [105/1638] t=16 m=0 w=0 | elapsed=3011s eta=46158s
  [106/1638] t=16 m=10 w=0 | elapsed=3041s eta=46126s
  [107/1638] t=16 m=20 w=0 | elapsed=3071s eta=46095s
  [108/1638] t=16 m=30 w=0 | elapsed=3101s eta=46063s
  [109/1638] t=16 m=40 w=0 | elapsed=3131s eta=46031s
  [110/1638] t=16 m=50 w=0 | elapsed=3161s eta=46000s
  [111/1638] t=16 m=60 w=0 | elapsed=3191s eta=45968s
  [112/1638] t=16 m=70 w=0 | elapsed=3221s eta=45936s
  [113/1638] t=16 m=80 w=0 | elapsed=3252s eta=45919s
  [114/1638] t=16 m=90 w=0 | elapsed=3282s eta=45887s
  [115/1638] t=16 m=100 w=0 | elapsed=3312s eta=45856s
  [116/1638] t=16 m=150 w=0 | elapsed=3342s eta=45824s
  [117/1638] t=16 m=200 w=0 | elapsed=3372s eta=45792s
  [118/1638] t=16 m=250 w=0 | elapsed=3402s eta=45761s
  [119/1638] t=16 m=300 w=0 | elapsed=3432s eta=45729s
  [120/1638] t=16 m=400 w=0 | elapsed=3462s eta=45698s
  [121/1638] t=16 m=500 w=0 | elapsed=3492s eta=45666s
  [122/1638] t=16 m=700 w=0 | elapsed=3522s eta=45635s
  [123/1638] t=16 m=1000 w=0 | elapsed=3553s eta=45616s
  [124/1638] t=16 m=2000 w=0 | elapsed=3583s eta=45585s
  [125/1638] t=16 m=3000 w=0 | elapsed=3613s eta=45553s
  [126/1638] t=16 m=5000 w=0 | elapsed=3643s eta=45522s
  [127/1638] t=16 m=7000 w=0 | elapsed=3673s eta=45491s
  [128/1638] t=16 m=10000 w=0 | elapsed=3703s eta=45459s
  [129/1638] t=16 m=20000 w=0 | elapsed=3733s eta=45428s
  [130/1638] t=16 m=50000 w=0 | elapsed=3763s eta=45396s
  [131/1638] t=32 m=0 w=0 | elapsed=3793s eta=45365s
  [132/1638] t=32 m=10 w=0 | elapsed=3824s eta=45346s
  [133/1638] t=32 m=20 w=0 | elapsed=3854s eta=45314s
  [134/1638] t=32 m=30 w=0 | elapsed=3884s eta=45283s
